Heating DB 99.6% - EPW,Heating DB 99% - EPW,Cooling DB 0.4% - EPW,Cooling DB 1% - EPW
-3.7963999999999998,-2.8,22.0,20.940999999999985
-1.0,-0.5,18.1,17.040999999999986
-0.5,0.1,17.596399999999996,16.6
-1.4,-0.6,17.4,16.6
-1.8,-0.9,17.9,16.5
-1.8,-0.9,18.3,16.940999999999985
-1.2964,-0.5,18.5,17.0
-10.5,-9.341000000000001,24.2,23.0
-11.7,-9.9,22.7,20.340999999999987
-10.0,-8.8,23.7,22.2
-18.8,-16.2,21.796399999999995,20.2
-19.5,-16.741,21.096399999999996,19.5
-19.0,-16.9,20.8,19.9
-13.5,-11.8,22.1,20.3
-13.7,-11.781999999999998,21.9,20.6
-13.9964,-13.0,21.9,20.6
-16.596400000000003,-14.6,18.5,17.440999999999985
-16.2,-15.0,22.99279999999999,19.5
-16.6964,-15.5,18.5,17.1
-18.7,-17.4,19.1,17.4
-16.7,-15.5,18.8,17.0
-16.7,-15.5,18.8,17.0
-2.7,-1.8,17.4,16.6
-2.2,-1.4,18.0,16.7
-2.3,-1.7,17.0,16.3
-7.3928,-5.2,22.99279999999999,20.8
-6.0,-4.5409999999999995,21.6,20.240999999999985
-9.0,-7.0,21.4,20.1
-10.8,-9.541,28.5,24.2
-10.6,-8.9,24.4,22.4
-10.8,-9.541,28.5,24.2
-14.3964,-13.2,22.796399999999995,21.6
-12.9964,-10.541,22.9,21.3
-15.2964,-13.1,21.196399999999993,19.4
-15.0,-13.1,23.0,21.840999999999987
-13.696399999999999,-11.6,22.8,21.6
-13.696399999999999,-11.6,22.8,21.6
-16.8,-14.7,25.1,23.3
-17.4,-15.6,24.396399999999993,23.2
-16.8,-14.7,25.1,23.3
-10.592799999999999,-8.2,22.396399999999993,21.3
-11.7,-9.0,24.2,22.3
-11.7,-9.941,23.2,21.740999999999985
-2.8,-1.8,19.196399999999993,17.7
-2.6964,-1.8,19.0,17.9
-6.7,-4.5,17.5,16.6
-30.9,-28.741,22.2,20.2
-31.096400000000003,-27.541,23.8,21.8
-23.9,-21.641000000000002,22.896399999999993,21.2
-13.0,-11.382,23.5,22.1
-13.492799999999999,-10.7,23.796399999999995,22.5
-15.5,-12.841000000000001,23.9,22.2
