,Location Name,Coordinates,URL for files
1715,Bolsherechye.AP OMS RUS,"['74.61030', '56.09410', '77.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/OMS_Omsk/RUS_OMS_Bolsherechye.AP.285930_TMYx.2007-2021.zip
1716,Bolsherechye OMS RUS,"['74.61030', '56.09410', '77.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/OMS_Omsk/RUS_OMS_Bolsherechye.285930_TMYx.zip
1717,Sargatskoye OMS RUS,"['73.48330', '55.60000', '81.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/OMS_Omsk/RUS_OMS_Sargatskoye.285980_TMYx.zip
1718,Muslyumovo TA RUS,"['53.18300', '55.31700', '79.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/TA_Tatarstan/RUS_TA_Muslyumovo.286120_TMYx.2007-2021.zip
1719,Muslyumovo TA RUS,"['53.18300', '55.31700', '79.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/TA_Tatarstan/RUS_TA_Muslyumovo.286120_TMYx.zip
1720,Bakaly BA RUS,"['53.79000', '55.18300', '125.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/BA_Bashkortostan/RUS_BA_Bakaly.286150_TMYx.2007-2021.zip
1721,Bakaly BA RUS,"['53.79000', '55.18300', '125.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/BA_Bashkortostan/RUS_BA_Bakaly.286150_TMYx.zip
1722,Birsk BA RUS,"['55.53300', '55.41700', '186.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/BA_Bashkortostan/RUS_BA_Birsk.286210_TMYx.2004-2018.zip
1723,Birsk BA RUS,"['55.55170', '55.40500', '186.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/BA_Bashkortostan/RUS_BA_Birsk.286210_TMYx.2007-2021.zip
1724,Birsk BA RUS,"['55.55170', '55.40500', '186.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/BA_Bashkortostan/RUS_BA_Birsk.286210_TMYx.zip
1725,Kropachevo CHE RUS,"['57.98300', '55.00000', '415.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/CHE_Chelyabinsk/RUS_CHE_Kropachevo.286370_TMYx.zip
1726,Balandino-Chelyabinsk.Intl.AP CHE RUS,"['61.50300', '55.30600', '234.4']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/CHE_Chelyabinsk/RUS_CHE_Balandino-Chelyabinsk.Intl.AP.286420_TMYx.2004-2018.zip
1727,Balandino-Chelyabinsk.Intl.AP CHE RUS,"['61.50300', '55.30600', '234.4']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/CHE_Chelyabinsk/RUS_CHE_Balandino-Chelyabinsk.Intl.AP.286420_TMYx.2007-2021.zip
1728,Balandino-Chelyabinsk.Intl.AP CHE RUS,"['61.50300', '55.30600', '234.4']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/CHE_Chelyabinsk/RUS_CHE_Balandino-Chelyabinsk.Intl.AP.286420_TMYx.zip
1729,Chelyabinsk CHE RUS,"['61.30000', '55.15000', '237.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/CHE_Chelyabinsk/RUS_CHE_Chelyabinsk.286450_TMYx.2004-2018.zip
1730,Chelyabinsk CHE RUS,"['61.30000', '55.15000', '237.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/CHE_Chelyabinsk/RUS_CHE_Chelyabinsk.286450_TMYx.2007-2021.zip
1731,Chelyabinsk CHE RUS,"['61.30000', '55.15000', '237.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/CHE_Chelyabinsk/RUS_CHE_Chelyabinsk.286450_TMYx.zip
1732,Shumikha KGN RUS,"['63.31670', '55.23330', '178.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KGN_Kurgan/RUS_KGN_Shumikha.286550_TMYx.2004-2018.zip
1733,Shumikha KGN RUS,"['63.31670', '55.23330', '178.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KGN_Kurgan/RUS_KGN_Shumikha.286550_TMYx.2007-2021.zip
1734,Shumikha KGN RUS,"['63.31670', '55.23330', '178.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KGN_Kurgan/RUS_KGN_Shumikha.286550_TMYx.zip
1735,Kurgan.AP KGN RUS,"['65.40000', '55.46700', '74.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KGN_Kurgan/RUS_KGN_Kurgan.AP.286610_TMYx.2004-2018.zip
1736,Kurgan.AP KGN RUS,"['65.40120', '55.45620', '74.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KGN_Kurgan/RUS_KGN_Kurgan.AP.286610_TMYx.2007-2021.zip
1737,Kurgan.AP KGN RUS,"['65.40120', '55.45620', '74.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KGN_Kurgan/RUS_KGN_Kurgan.AP.286610_TMYx.zip
1738,Makushino KGN RUS,"['67.30000', '55.25000', '140.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KGN_Kurgan/RUS_KGN_Makushino.286660_TMYx.2004-2018.zip
1739,Makushino KGN RUS,"['67.30000', '55.25000', '140.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KGN_Kurgan/RUS_KGN_Makushino.286660_TMYx.2007-2021.zip
1740,Makushino KGN RUS,"['67.30000', '55.25000', '140.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KGN_Kurgan/RUS_KGN_Makushino.286660_TMYx.zip
1741,Ilyinka TYU RUS,"['69.31720', '55.45050', '92.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/TYU_Tyumen/RUS_TYU_Ilyinka.286730_TMYx.zip
1742,Petukhovo KGN RUS,"['67.96410', '55.10340', '136.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KGN_Kurgan/RUS_KGN_Petukhovo.286740_TMYx.zip
1743,Isilkul OMS RUS,"['71.27030', '54.93720', '125.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/OMS_Omsk/RUS_OMS_Isilkul.286880_TMYx.2004-2018.zip
1744,Isilkul OMS RUS,"['71.27030', '54.93720', '125.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/OMS_Omsk/RUS_OMS_Isilkul.286880_TMYx.2007-2021.zip
1745,Isilkul OMS RUS,"['71.27030', '54.93720', '125.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/OMS_Omsk/RUS_OMS_Isilkul.286880_TMYx.zip
1746,Kalachinsk OMS RUS,"['74.60610', '55.01940', '110.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/OMS_Omsk/RUS_OMS_Kalachinsk.286960_TMYx.2004-2018.zip
