,Location Name,Coordinates,URL for files
1106,Upsala ON CAN,"['-90.46670', '49.03330', '488.5']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Upsala.714350_TMYx.2004-2018.zip
1107,Upsala ON CAN,"['-90.46140', '49.03610', '488.5']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Upsala.714350_TMYx.2007-2021.zip
1108,Upsala ON CAN,"['-90.46140', '49.03610', '488.5']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Upsala.714350_TMYx.zip
1109,Peterborough.Muni.AP ON CAN,"['-78.36330', '44.23000', '191.4']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Peterborough.Muni.AP.714360_TMYx.2004-2018.zip
1110,Peterborough.Muni.AP ON CAN,"['-78.35260', '44.23030', '191.4']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Peterborough.Muni.AP.714360_TMYx.2007-2021.zip
1111,Peterborough.Muni.AP ON CAN,"['-78.35260', '44.23030', '191.4']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Peterborough.Muni.AP.714360_TMYx.zip
1112,Burlington.Piers ON CAN,"['-79.80000', '43.30000', '77.4']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Burlington.Piers.714370_TMYx.2004-2018.zip
1113,Burlington.Piers ON CAN,"['-79.79160', '43.30050', '77.4']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Burlington.Piers.714370_TMYx.2007-2021.zip
1114,Burlington.Piers ON CAN,"['-79.79160', '43.30050', '77.4']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Burlington.Piers.714370_TMYx.zip
1115,Western.Islands.Lighthouse ON CAN,"['-80.35397', '45.03664', '191.1']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Western.Islands.Lighthouse.714380_TMYx.2004-2018.zip
1116,Western.Islands.Lighthouse ON CAN,"['-80.35397', '45.03664', '191.1']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Western.Islands.Lighthouse.714380_TMYx.2007-2021.zip
1117,Western.Islands.Lighthouse ON CAN,"['-80.35397', '45.03664', '191.1']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Western.Islands.Lighthouse.714380_TMYx.zip
