,Location Name,Coordinates,URL for files
597,Mazatlan-Buelna.Intl.AP SIN MEX,"['-106.2660', '23.16100', '11.6']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/SIN_Sinaloa/MEX_SIN_Mazatlan-Buelna.Intl.AP.764593_TMYx.zip
598,Sombrerete ZAC MEX,"['-103.6500', '23.63300', '2351.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/ZAC_Zacatecas/MEX_ZAC_Sombrerete.764710_TMYx.2004-2018.zip
599,Sombrerete ZAC MEX,"['-103.6500', '23.63300', '2351.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/ZAC_Zacatecas/MEX_ZAC_Sombrerete.764710_TMYx.2007-2021.zip
600,Sombrerete ZAC MEX,"['-103.6500', '23.63300', '2351.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/ZAC_Zacatecas/MEX_ZAC_Sombrerete.764710_TMYx.zip
601,Isla.Perez YUC MEX,"['-89.68300', '22.38300', '1.5']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/YUC_Yucatan/MEX_YUC_Isla.Perez.764900_TMYx.2007-2021.zip
602,Isla.Perez YUC MEX,"['-89.68300', '22.38300', '1.5']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/YUC_Yucatan/MEX_YUC_Isla.Perez.764900_TMYx.zip
603,Ciudad.Victoria TAM MEX,"['-99.13300', '23.73300', '355.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/TAM_Tamaulipas/MEX_TAM_Ciudad.Victoria.764910_TMYx.2004-2018.zip
604,Ciudad.Victoria TAM MEX,"['-99.13300', '23.73300', '355.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/TAM_Tamaulipas/MEX_TAM_Ciudad.Victoria.764910_TMYx.2007-2021.zip
605,Ciudad.Victoria TAM MEX,"['-99.13300', '23.73300', '355.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/TAM_Tamaulipas/MEX_TAM_Ciudad.Victoria.764910_TMYx.zip
606,Cuidad.Victoria-Mendez.Intl.AP TAM MEX,"['-98.95800', '23.00000', '57.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/TAM_Tamaulipas/MEX_TAM_Cuidad.Victoria-Mendez.Intl.AP.764915_TMYx.2004-2018.zip
607,Cuidad.Victoria-Mendez.Intl.AP TAM MEX,"['-98.95800', '23.00000', '57.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/TAM_Tamaulipas/MEX_TAM_Cuidad.Victoria-Mendez.Intl.AP.764915_TMYx.2007-2021.zip
608,Cuidad.Victoria-Mendez.Intl.AP TAM MEX,"['-98.95800', '23.00000', '57.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/TAM_Tamaulipas/MEX_TAM_Cuidad.Victoria-Mendez.Intl.AP.764915_TMYx.zip
609,Soto.la.Marina TAM MEX,"['-98.20000', '23.76700', '21.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/TAM_Tamaulipas/MEX_TAM_Soto.la.Marina.764990_TMYx.2004-2018.zip
610,Soto.la.Marina TAM MEX,"['-98.20000', '23.76700', '21.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/TAM_Tamaulipas/MEX_TAM_Soto.la.Marina.764990_TMYx.2007-2021.zip
611,Soto.la.Marina TAM MEX,"['-98.20000', '23.76700', '21.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/TAM_Tamaulipas/MEX_TAM_Soto.la.Marina.764990_TMYx.zip
612,Huejucar ZAC MEX,"['-103.3670', '22.38300', '1932.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/ZAC_Zacatecas/MEX_ZAC_Huejucar.765180_TMYx.2007-2021.zip
